COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,9,-24,-15,27,52,22,21,105Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,5,-5,0,36,40,18,19,105Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,-8,9,1,49,42,12,10,105Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,-6,-4,-10,8,11,2,3,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,-18,-9,-27,59,67,20,21,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,-5,-17,-22,50,66,34,35,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,-9,9,0,32,22,8,9,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,-13,3,-10,32,27,9,11,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,-4,-23,-27,32,57,13,11,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,-17,16,-1,56,40,24,24,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,-11,9,-2,51,45,18,15,105Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,-5,-2,-7,29,31,15,15,105Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,-3,-2,-5,32,34,6,6,105Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,-1,-20,-21,33,53,13,13,105Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,-2,-7,-9,11,19,6,5,105Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,-3,-13,-16,14,26,7,8,105Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,-1,-6,-7,11,17,3,3,105Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,18,-35,-17,70,103,37,39,105Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,5,-9,-4,71,87,46,39,105Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,1,-31,-30,90,116,65,70,105Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,-7,-14,-21,16,26,40,44,105Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,-1,-31,-32,22,27,58,84,105Y
